index;Load(kN);Defor(mm);Stroke(mm);Time(s)
471;4.74;2.34;2.34;28.255
472;4.76;2.345;2.345;28.315
473;4.78;2.35;2.35;28.375
474;4.8;2.355;2.355;28.435
475;4.82;2.36;2.36;28.495
476;4.84;2.365;2.365;28.555
477;4.86;2.37;2.37;28.615
478;4.88;2.375;2.375;28.675
479;4.9;2.38;2.38;28.735
480;4.92;2.385;2.385;28.795
481;4.96;2.39;2.39;28.855
482;4.96;2.395;2.395;28.915
483;5;2.4;2.4;28.975
484;5;2.405;2.405;29.035
485;5.04;2.41;2.41;29.095
486;5.04;2.415;2.415;29.155
487;5.08;2.42;2.42;29.215
488;5.1;2.425;2.425;29.275
489;5.12;2.43;2.43;29.335
490;5.14;2.435;2.435;29.395
491;5.14;2.44;2.44;29.455
492;5.16;2.445;2.445;29.515
493;5.18;2.45;2.45;29.575
494;5.2;2.455;2.455;29.635
495;5.24;2.46;2.46;29.695
496;5.24;2.465;2.465;29.755
497;5.26;2.47;2.47;29.815
498;5.28;2.475;2.475;29.875
499;5.32;2.48;2.48;29.935
500;5.34;2.485;2.485;29.995
501;5.36;2.49;2.49;30.055
502;5.38;2.495;2.495;30.115
503;5.4;2.5;2.5;30.175
504;5.42;2.505;2.505;30.235
505;5.44;2.51;2.51;30.295
506;5.46;2.515;2.515;30.355
507;5.48;2.52;2.52;30.415
508;5.5;2.525;2.525;30.475
509;5.52;2.53;2.53;30.535
510;5.54;2.535;2.535;30.595
511;5.58;2.54;2.54;30.655
512;5.58;2.545;2.545;30.715
513;5.62;2.55;2.55;30.775
514;5.62;2.555;2.555;30.835
515;5.64;2.56;2.56;30.895
516;5.68;2.565;2.565;30.955
517;5.7;2.57;2.57;31.015
518;5.72;2.575;2.575;31.075
519;5.74;2.58;2.58;31.135
520;5.76;2.5862;2.586;31.195
521;5.78;2.59;2.59;31.255
522;5.8;2.5963;2.596;31.315
523;5.84;2.6;2.6;31.375
524;5.86;2.6063;2.606;31.435
525;5.88;2.61;2.61;31.495
526;5.9;2.6163;2.616;31.555
527;5.92;2.62;2.62;31.615
528;5.94;2.6263;2.626;31.675
529;5.96;2.63;2.63;31.735
530;5.98;2.6363;2.636;31.795
531;6.02;2.64;2.64;31.855
532;6.04;2.6463;2.646;31.915
533;6.06;2.65;2.65;31.975
534;6.08;2.6562;2.656;32.035
535;6.1;2.66;2.66;32.095
536;6.12;2.6662;2.666;32.155
537;6.16;2.67;2.67;32.215
538;6.18;2.6762;2.676;32.275
539;6.2;2.68;2.68;32.335
540;6.22;2.6862;2.686;32.395
541;6.24;2.69;2.69;32.455
542;6.26;2.695;2.695;32.515
543;6.28;2.7;2.7;32.575
544;6.3;2.705;2.705;32.635
545;6.34;2.71;2.71;32.695
546;6.36;2.7162;2.716;32.755
547;6.38;2.72;2.72;32.815
548;6.4;2.7262;2.726;32.875
549;6.42;2.73;2.73;32.935
550;6.44;2.7362;2.736;32.995
551;6.48;2.74;2.74;33.055
552;6.5;2.7462;2.746;33.115
553;6.52;2.75;2.75;33.175
554;6.54;2.7562;2.756;33.235
555;6.56;2.76;2.76;33.295
556;6.6;2.7662;2.766;33.355
557;6.62;2.77;2.77;33.415
558;6.64;2.7762;2.776;33.475
559;6.66;2.78;2.78;33.535
560;6.68;2.7862;2.786;33.595
561;6.72;2.79;2.79;33.655
562;6.74;2.7962;2.796;33.715
563;6.76;2.8;2.8;33.775
564;6.78;2.8062;2.806;33.835
565;6.82;2.81;2.81;33.895
566;6.84;2.8162;2.816;33.955
567;6.86;2.82;2.82;34.015
568;6.88;2.8262;2.826;34.075
569;6.9;2.8312;2.831;34.135
570;6.94;2.8362;2.836;34.195
571;6.96;2.84;2.84;34.255
572;6.98;2.8462;2.846;34.315
573;7.02;2.85;2.85;34.375
574;7.02;2.8563;2.856;34.435
575;7.06;2.86;2.86;34.495
576;7.08;2.8663;2.866;34.555
577;7.1;2.87;2.87;34.615
578;7.14;2.8763;2.876;34.675
579;7.16;2.88;2.88;34.735
580;7.18;2.8863;2.886;34.795
581;7.22;2.89;2.89;34.855
582;7.24;2.8963;2.896;34.915
583;7.26;2.9;2.9;34.975
584;7.28;2.9062;2.906;35.035
585;7.32;2.91;2.91;35.095
586;7.34;2.9162;2.916;35.155
587;7.36;2.92;2.92;35.215
588;7.4;2.9262;2.926;35.275
589;7.42;2.9312;2.931;35.335
590;7.44;2.9362;2.936;35.395
591;7.48;2.9412;2.941;35.455
592;7.5;2.9462;2.946;35.515
593;7.52;2.9512;2.951;35.575
594;7.56;2.9562;2.956;35.635
595;7.58;2.9612;2.961;35.695
596;7.6;2.9662;2.966;35.755
597;7.64;2.9712;2.971;35.815
598;7.66;2.9762;2.976;35.875
599;7.7;2.9813;2.981;35.935
600;7.72;2.9862;2.986;35.995
601;7.76;2.9913;2.991;36.055
602;7.78;2.9962;2.996;36.115
603;7.82;3.0013;3.001;36.175
604;7.84;3.0062;3.006;36.235
605;7.86;3.0113;3.011;36.295
606;7.9;3.0162;3.016;36.355
607;7.92;3.0213;3.021;36.415
608;7.96;3.0262;3.026;36.475
609;7.98;3.0312;3.031;36.535
610;8;3.0362;3.036;36.595
611;8.04;3.0412;3.041;36.655
612;8.06;3.0462;3.046;36.715
613;8.1;3.0512;3.051;36.775
