0
Diameter:	   7.90
   1.00
Area:	  49.0167
GaugeLength:	  50.00
2009-1-1
ACO REVENIDO
GRUPO3 ACO REVENIDO
DataNumber:	2647
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
  378	 12.4600	  0.5640	   1.875	  22.675
  379	 12.5200	  0.5640	   1.880	  22.735
  380	 12.5600	  0.5640	   1.885	  22.795
  381	 12.6200	  0.5640	   1.890	  22.855
  382	 12.6800	  0.5640	   1.895	  22.915
  383	 12.7200	  0.5640	   1.900	  22.975
  384	 12.7800	  0.5660	   1.905	  23.035
  385	 12.8200	  0.5640	   1.910	  23.095
  386	 12.8800	  0.5640	   1.915	  23.155
  387	 12.9400	  0.5660	   1.920	  23.215
  388	 13.0000	  0.5660	   1.925	  23.275
  389	 13.0400	  0.5660	   1.930	  23.335
  390	 13.1000	  0.5660	   1.935	  23.395
  391	 13.1600	  0.5660	   1.940	  23.455
  392	 13.2000	  0.5680	   1.945	  23.515
  393	 13.2600	  0.5660	   1.950	  23.575
  394	 13.3200	  0.5680	   1.955	  23.635
  395	 13.3600	  0.5680	   1.960	  23.695
  396	 13.4200	  0.5680	   1.965	  23.755
  397	 13.4800	  0.5680	   1.970	  23.815
  398	 13.5200	  0.5680	   1.975	  23.875
  399	 13.5800	  0.5700	   1.980	  23.935
  400	 13.6400	  0.5700	   1.985	  23.995
  401	 13.6800	  0.5700	   1.990	  24.055
  402	 13.7400	  0.5700	   1.995	  24.115
  403	 13.8000	  0.5700	   2.000	  24.175
  404	 13.8600	  0.5700	   2.005	  24.235
  405	 13.9000	  0.5700	   2.010	  24.295
  406	 13.9600	  0.5700	   2.015	  24.355
  407	 14.0000	  0.5720	   2.020	  24.415
  408	 14.0600	  0.5700	   2.025	  24.475
  409	 14.1200	  0.5720	   2.030	  24.535
  410	 14.1600	  0.5720	   2.035	  24.595
  411	 14.2200	  0.5720	   2.040	  24.655
  412	 14.2800	  0.5740	   2.045	  24.715
  413	 14.3400	  0.5740	   2.050	  24.775
  414	 14.3800	  0.5720	   2.055	  24.835
  415	 14.4400	  0.5740	   2.060	  24.895
  416	 14.5000	  0.5740	   2.065	  24.955
  417	 14.5400	  0.5740	   2.070	  25.015
  418	 14.6000	  0.5740	   2.075	  25.075
  419	 14.6600	  0.5740	   2.080	  25.135
  420	 14.7000	  0.5740	   2.085	  25.195
  421	 14.7600	  0.5740	   2.090	  25.255
  422	 14.8200	  0.5760	   2.095	  25.315
  423	 14.8600	  0.5760	   2.100	  25.375
  424	 14.9200	  0.5760	   2.105	  25.435
  425	 14.9800	  0.5760	   2.110	  25.495
  426	 15.0200	  0.5760	   2.115	  25.555
  427	 15.0800	  0.5780	   2.120	  25.615
  428	 15.1200	  0.5760	   2.125	  25.675
  429	 15.1800	  0.5780	   2.130	  25.735
  430	 15.2400	  0.5780	   2.135	  25.795
  431	 15.3000	  0.5780	   2.140	  25.855
  432	 15.3400	  0.5780	   2.145	  25.915
  433	 15.4000	  0.5780	   2.150	  25.975
  434	 15.4600	  0.5780	   2.155	  26.035
  435	 15.5000	  0.5780	   2.159	  26.095
  436	 15.5600	  0.5800	   2.165	  26.155
  437	 15.6200	  0.5800	   2.169	  26.215
  438	 15.6800	  0.5800	   2.175	  26.275
  439	 15.7200	  0.5800	   2.179	  26.335
  440	 15.7800	  0.5800	   2.185	  26.395
  441	 15.8400	  0.5800	   2.189	  26.455
  442	 15.9000	  0.5820	   2.195	  26.515
  443	 15.9400	  0.5820	   2.200	  26.575
  444	 16.0000	  0.5820	   2.205	  26.635
  445	 16.0600	  0.5820	   2.210	  26.695
  446	 16.1000	  0.5820	   2.215	  26.755
  447	 16.1600	  0.5820	   2.217	  26.815
  448	 16.2000	  0.5820	   2.222	  26.875
  449	 16.2600	  0.5820	   2.227	  26.935
  450	 16.3200	  0.5840	   2.232	  26.995
  451	 16.3800	  0.5840	   2.237	  27.055
  452	 16.4200	  0.5840	   2.243	  27.115
  453	 16.4800	  0.5840	   2.247	  27.175
  454	 16.5400	  0.5840	   2.253	  27.235
  455	 16.5800	  0.5840	   2.257	  27.295
  456	 16.6400	  0.5860	   2.263	  27.355
  457	 16.7000	  0.5860	   2.267	  27.415
  458	 16.7600	  0.5860	   2.273	  27.475
  459	 16.8000	  0.5860	   2.277	  27.535
  460	 16.8600	  0.5860	   2.283	  27.595
  461	 16.9200	  0.5860	   2.287	  27.655
  462	 16.9800	  0.5860	   2.293	  27.715
  463	 17.0400	  0.5860	   2.297	  27.775
  464	 17.0800	  0.5860	   2.303	  27.835
  465	 17.1400	  0.5880	   2.307	  27.895
  466	 17.2000	  0.5880	   2.312	  27.955
  467	 17.2600	  0.5880	   2.317	  28.015
  468	 17.3200	  0.5880	   2.322	  28.075
  469	 17.3600	  0.5880	   2.327	  28.135
  470	 17.4200	  0.5900	   2.332	  28.195
  471	 17.4800	  0.5900	   2.337	  28.255
  472	 17.5400	  0.5900	   2.342	  28.315
  473	 17.6000	  0.5900	   2.347	  28.375
  474	 17.6400	  0.5900	   2.352	  28.435
  475	 17.7000	  0.5900	   2.357	  28.495
  476	 17.7600	  0.5920	   2.362	  28.555
  477	 17.8200	  0.5920	   2.367	  28.615
  478	 17.8800	  0.5920	   2.372	  28.675
  479	 17.9200	  0.5920	   2.378	  28.735
  480	 17.9800	  0.5920	   2.382	  28.795
  481	 18.0400	  0.5920	   2.388	  28.855
  482	 18.1000	  0.5920	   2.392	  28.915
  483	 18.1400	  0.5920	   2.398	  28.975
  484	 18.2000	  0.5940	   2.402	  29.035
  485	 18.2600	  0.5940	   2.408	  29.095
  486	 18.3200	  0.5940	   2.412	  29.155
  487	 18.3800	  0.5940	   2.418	  29.215
  488	 18.4200	  0.5940	   2.422	  29.275
  489	 18.4800	  0.5940	   2.428	  29.335
  490	 18.5400	  0.5960	   2.432	  29.395
  491	 18.6000	  0.5960	   2.438	  29.455
  492	 18.6600	  0.5960	   2.442	  29.515
  493	 18.7200	  0.5960	   2.447	  29.575
  494	 18.7600	  0.5960	   2.452	  29.635
  495	 18.8200	  0.5960	   2.457	  29.695
  496	 18.8800	  0.5960	   2.461	  29.755
  497	 18.9400	  0.5980	   2.467	  29.815
  498	 19.0000	  0.5980	   2.471	  29.875
  499	 19.0600	  0.5980	   2.476	  29.935
  500	 19.1200	  0.5980	   2.481	  29.995
  501	 19.1800	  0.5980	   2.486	  30.055
  502	 19.2200	  0.5980	   2.491	  30.115
  503	 19.2800	  0.5980	   2.496	  30.175
  504	 19.3400	  0.5980	   2.501	  30.235
  505	 19.4000	  0.5980	   2.506	  30.295
  506	 19.4600	  0.6000	   2.511	  30.355
  507	 19.5200	  0.6000	   2.516	  30.415
  508	 19.5800	  0.6000	   2.521	  30.475
  509	 19.6200	  0.6000	   2.526	  30.535
  510	 19.6800	  0.6000	   2.531	  30.595
  511	 19.7400	  0.6020	   2.536	  30.655
  512	 19.8000	  0.6020	   2.541	  30.715
  513	 19.8600	  0.6020	   2.546	  30.775
  514	 19.9200	  0.6020	   2.551	  30.835
  515	 19.9800	  0.6020	   2.556	  30.895
  516	 20.0400	  0.6020	   2.561	  30.955
  517	 20.0800	  0.6040	   2.566	  31.015
  518	 20.1400	  0.6040	   2.571	  31.075
  519	 20.2000	  0.6040	   2.576	  31.135
  520	 20.2600	  0.6040	   2.581	  31.195
  521	 20.3200	  0.6040	   2.586	  31.255
  522	 20.3600	  0.6040	   2.591	  31.315
  523	 20.4200	  0.6040	   2.596	  31.375
  524	 20.4800	  0.6060	   2.601	  31.435
  525	 20.5400	  0.6060	   2.606	  31.495
  526	 20.6000	  0.6060	   2.611	  31.555
  527	 20.6600	  0.6060	   2.616	  31.615
  528	 20.7200	  0.6060	   2.621	  31.675
  529	 20.7600	  0.6060	   2.626	  31.735
  530	 20.8200	  0.6060	   2.631	  31.795
  531	 20.9000	  0.6080	   2.636	  31.855
  532	 20.9400	  0.6080	   2.641	  31.915
  533	 21.0000	  0.6080	   2.646	  31.975
  534	 21.0600	  0.6080	   2.651	  32.035
  535	 21.1200	  0.6080	   2.656	  32.095
